title,url,author,date
Пробовали писать код с закрытыми глазами? Я делаю это всю жизнь: 32 вопроса незрячему программисту,https://habr.com/ru/users/denis_skripnik/,denis_skripnik,2025-10-30 20:12:00
"Зарабатываем, открывая позиции против трейдеров на bybit",https://habr.com/ru/users/negrbluad/,negrbluad,2025-10-30 19:59:00
Анализ EEG-датасетов с Kaggle: от сигнала до ML-модели,https://habr.com/ru/users/GenomeDust/,GenomeDust,2025-10-30 19:06:00
"Битрикс, PHP CS Fixer, Rector, PHPStan",https://habr.com/ru/users/ilimurzin/,ilimurzin,2025-10-30 18:51:00
Еще один самодельный компьютер. Coolsystem — Часть 1,https://habr.com/ru/users/nikhotmsk/,nikhotmsk,2025-10-30 17:57:00
Atomic — свежий взгляд на разработку игр Unity и C#,https://habr.com/ru/users/StarKRE/,StarKRE,2025-10-30 17:26:00
Автоматический выбор версии NVIDIA драйвера при загрузке Linux дистрибутива PocketHandyBox,https://habr.com/ru/users/gumanzoy/,gumanzoy,2025-10-30 17:22:00
Как я изобрел новый способ аутентификации и связь через свет: Ligthprint,https://habr.com/ru/users/Flayt_334/,Flayt_334,2025-10-30 17:19:00
Поговорим о продвинутых техниках NLP,https://habr.com/ru/users/Andrey_Biryukov/,Andrey_Biryukov,2025-10-30 17:05:00
"Усы, лапы и хвост – вот мои документы",https://habr.com/ru/users/stas_makarov/,stas_makarov,2025-10-30 17:03:00
Green Tea: новый экспериментальный сборщик мусора в Go,https://habr.com/ru/users/python_leader/,python_leader,2025-10-30 15:45:00
"Возможно ли охлаждать микросхемы с помощью лазеров? Стартап намерен охлаждать дата-центры, превращая тепло в свет",https://habr.com/ru/users/HannaBilova/,HannaBilova,2025-10-30 15:42:00
Сравнил ИРБИС и Контур.Фокус. Какой сервис сможет рассказать больше о ваших будущих партнерах?,https://habr.com/ru/users/tw0face/,tw0face,2025-10-30 15:18:00
Динамическая память: как ИИ-агенты научились сворачивать контекст и думать на 100 шагов вперёд,https://habr.com/ru/users/andre_dataist/,andre_dataist,2025-10-30 15:13:00
Perplexity Patents — как ИИ упрощает работу с патентами,https://habr.com/ru/users/stas-clear/,stas-clear,2025-10-30 15:06:00
Нейро-дайджест: ключевые события AI за 22-29 октября 2025,https://habr.com/ru/users/Wonderlove/,Wonderlove,2025-10-30 15:05:00
Вакуумный дирижабль: Святой Грааль аэронавтики на грани возможного,https://habr.com/ru/users/Max-G/,Max-G,2025-10-30 14:58:00
Управление закупками,https://habr.com/ru/users/BPMSoft/,BPMSoft,2025-10-30 14:36:00
Собираем чат-бота под Хеллоуин. Тратим 3 часа и баночку пива,https://habr.com/ru/users/dar0nn/,dar0nn,2025-10-30 14:32:00
Методика оценки вклада сегмента в общее изменение метрики,https://habr.com/ru/users/Michael_Selge/,Michael_Selge,2025-10-30 14:17:00
